locality,country,stateprovince,county,latitude,longitude,correction status,precision,error polygon,multiple results,uuid
"champoton, la tuxpena",mexico,campeche,champoton municipality,,,,,,,81973852-01f4-4f06-b2b1-258bd5ab6609
tapaliza river,panama,darién,,,,,,,,0ba0b4ba-2056-4253-ba26-eeb53df08650
yohaltun,mexico,campeche,,,,,,,,b783426c-3189-45d0-ae21-e1e1a8e7d52c
"statione laguna el sotz, 5 mi n",guatemala,peten,,,,,,,,6cefc78c-ecd4-4803-bfc7-e5afbf46c31b
western foothills of the sierra madre mountains [verbatim elevation:4000],mexico,sonora,,,,,,,,0114c4f0-2b57-4ba9-b157-55e758e5741d
palenque,mexico,chiapas,,,,,,,,95edcbf2-79bf-4a46-a4be-73151266a841
fort apache indian reservation,united states,arizona,,,,,,,,63d63a10-8a8a-4396-bb91-7ae239ab24f2
remote,guatemala,peten,,,,,,,,e6707d21-07b2-436b-82b2-6184ac202962
acapulco,mexico,guerrero,,,,,,,,8af7e31a-10aa-488c-bbc1-06616e76afd0
rio tocantins,brazil,para,,,,,,,,ecbb210f-fa52-4b53-aa0f-e4d9686077f9
"bull run ranch, near augustine, mount pine ridge",belize,,,,,,,,,01f4d03a-26dd-4671-bfc3-8963ab94ceb8
"lake peten, about 25 or 30 mi nw, san diego and laguna perdida",guatemala,peten,,,,,,,,9af8d9f2-8fbb-4a68-88d7-4be3738453ec
"libertad, near",guatemala,peten,,,,,,,,b884d7b3-552e-496b-bc14-0082db719f84
"greaterville, 6 miles nw",united states,arizona,,,,,,,,84471e7b-f792-4f1d-8f00-0d858cf3e8f0
acapulco,mexico,guerrero,,,,,,,,06c96efb-c99f-4c48-8823-eed9bb298594
"rupununi, 30 mi e dadanawa",guyana,upper takutu-upper essequibo,,,,,,,,01dd4115-4caa-4cc4-bd8b-a223cebf3b73
chivela,mexico,oaxaca,,,,,,,,fe572d22-4cd3-4f96-8267-3be27ee69594
acapulco,mexico,guerrero,,,,,,,,0e55b6c6-3218-4a16-bd9c-2e1dd8e3e64c
papayo,mexico,guerrero,,,,,,,,71fcc719-10e4-4352-ab91-1301584fc527
pucro village,panama,darien,,,,,,,,59e5d965-c076-4189-9161-4640b3f259d5
san juan de los reyes,mexico,veracruz,,,,,,,,517764f1-ce32-4220-8b08-95be4efef767
seattle; woodland park zoo,united states,washington,king county,,,,,,,488309c5-54be-4400-b4c8-c269a3e6ff2d
helveta,united states,arizona,,,,,,,,96177cf6-3459-4165-a0ca-54b6d4c93330
xarayas marshes,brazil,mato grosso,,,,,,,,1c3204c7-00f5-4797-83ba-dd77196d7307
maranon river,peru,,,,,,,,,0082c073-5c97-4780-82c8-6d9cb1fa7b62
papago,mexico,guerrero,,,,,,,,81417b49-1e89-4943-8778-fce5db063452
chichen itza,mexico,yucatan,,,,,,,,43b0677d-74a8-4967-bb2e-cf60d114e8ac
pucro village,panama,darien,,,,,,,,a414c95d-3484-4cb1-9061-a7914f9d836f
seattle; woodland park zoo,united states,washington,king county,,,,,,,8e0dc6a0-951b-41a7-9e0e-5fe8b13bd514
chichen itza,mexico,yucatan,,,,,,,,5bac588f-5529-454b-92f8-888ee30e612f
perez,mexico,veracruz,,,,,,,,20bc967a-abc9-413f-84c8-de931261459e
pucro village,panama,darien,,,,,,,,121841a6-f9ac-4fe4-868b-f9030ab38fb2
"sinaloa, sierra madre mountains",mexico,,,,,,,,,e39cab27-391d-4372-8d97-ea761163e30f
southwestern part of prov,brazil,mato grosso,,,,,,,,6f2e3af0-e6d0-4c82-86d0-38db9d5dedd3
"rio iguazu, below numbucu",paraguay,,,,,,,,,87761330-93b2-4f07-8804-9d3c10b5dc83
"nogales, 20 mi w",united states,arizona,,,,,,,,36ef09fd-d52c-4e2b-bfba-474bd7f47a6e
"talamanca [probably near sipurio, in valley of rio sixaola (see miller and kellogg 1955:765)]",costa rica,limon,,,,,,,,25dc46b3-bc07-415b-8e9a-45595fadb023
"san jose, parana",argentina,entre rios,,,,,,,,e8fa35f0-1548-43dd-aaae-782c5072367a
junction of iguazu river and yuqueri river,paraguay,,,,,,,,,8e00fd5a-8fec-4044-8c26-a63f7b281676
beni river,bolivia,,,,,,,,,bd8e80c0-78fe-4015-af61-504e50611831
