"uuid","genus","specificepithet","longitude","latitude","elevation","temperature","precipitation","landcover"
"d658b274-d56e-495a-8797-0c790642e7ae","panthera","onca","-89.395","18.5052778","256","244","1067","2"
"10a39eef-62cc-4ab0-9eee-b20ad258b722","panthera","onca","-87.1833333","21.2166667","7","257","1157","12"
"33aef1f9-81e3-422e-875a-e2fddad32fcb","panthera","onca","-91.1625","16.8125","355","239","2304","2"
"caed9263-6132-46a5-9776-041687596f54","panthera","onca","-85.05","10.96808","43","262","2185","12"
"95edcbf2-79bf-4a46-a4be-73151266a841","panthera","onca","-92.65","15.633333","1620","185","2842","1"
"b884d7b3-552e-496b-bc14-0082db719f84","panthera","onca","-90.169639","16.80013","197","246","1895","12"
"84471e7b-f792-4f1d-8f00-0d858cf3e8f0","panthera","onca","-110.822508","31.825531","1267","182","427","10"
"01dd4115-4caa-4cc4-bd8b-a223cebf3b73","panthera","onca","-59.079515","2.833251","193","255","1786","2"
"71fcc719-10e4-4352-ab91-1301584fc527","panthera","onca","-101.816667","18","83","270","931","8"
"96177cf6-3459-4165-a0ca-54b6d4c93330","panthera","onca","-110.80148","31.712851","1819","146","476","5"
"0082c073-5c97-4780-82c8-6d9cb1fa7b62","panthera","onca","-76.666667","-8.75","3787","78","3060","16"
"43b0677d-74a8-4967-bb2e-cf60d114e8ac","panthera","onca","-88.575966","20.681512","31","258","1188","12"
"20bc967a-abc9-413f-84c8-de931261459e","panthera","onca","-99.85","20.7","2054","165","400","10"
"25dc46b3-bc07-415b-8e9a-45595fadb023","panthera","onca","-82.949536","9.534105","76","259","2245","2"
"aad3e470-8ce5-4b5b-90fd-3975f11aef0a","panthera","onca","-94.8225","17.4316667","51","257","2844","12"
"67075ea4-91da-4cc8-86cc-d2a74b71a69a","panthera","onca","-82.81667","9.03333","3045","88","3635","2"
"56d19171-04a7-499e-a86b-32694102f810","panthera","onca","-104.60194000000001","19.6024782","492","239","1320","12"
"066c8aca-5971-49ca-b708-d6576d5394e5","panthera","onca","-90.329102","15.722626","366","237","3068","1"
"3f5569b3-89a4-4f51-b49a-bb322ec52bbb","panthera","onca","-60.75","2.25","109","263","1902","2"
"e18468b7-6629-4882-8ed4-7145225eba60","panthera","onca","-90.53419","14.609980000000002","1524","184","1276","13"
"411163aa-0828-4a34-99ed-619a1efc061b","panthera","onca","-72.7","9.18","43","272","2218","2"
"7938afba-795d-4dc9-ba41-7d15a9df2630","panthera","onca","-74.3166657","-8.6000004","159","256","1632","2"
"aa53919b-e224-4a4f-ad2f-9d00b8c1cbd8","panthera","onca","-59.866667","-20.633333","131","255","880","9"
"f74e2104-f8d4-4e68-a1f8-5f3557a79bfa","panthera","onca","-57.833333","-22.716667","90","244","1281","2"
"79afcd4a-45a6-405e-b575-3f160d76ed42","panthera","onca","-54.683333","-2.4","1","269","2123","17"
"d3a96c94-8a45-4c47-96fb-48172fac3887","panthera","onca","-59.287917","3.89643","79","264","1123","9"
"7a1b1535-3e61-449c-894b-5a38257dd9eb","panthera","onca","-73.616667","9.816667","52","273","1455","2"
"80fbd7ea-e811-407d-ae56-f33be73772d1","panthera","onca","-89.844924","17.084096","272","242","1445","2"
"7edca0f3-7a50-443f-ac0a-816958d235d8","panthera","onca","-57.25","-4.25","97","258","2130","2"
"a7be6718-155a-422a-a464-9c061ce986b0","panthera","onca","-95.238447","16.316454","43","268","855","8"
"49fc7315-a4b4-42cb-b6c2-f55171fce5e3","panthera","onca","-79.558889","9.383611","126","262","2619","2"
"c6bcdc8f-7f58-4fb6-af37-516fdf77ac03","panthera","onca","-103.679401","19.207589","443","247","781","8"
"6ec7ebea-0bc8-43fa-a77f-7f456fc704f8","panthera","onca","-72.9965591","3.4971402","244","254","3646","9"
"04cdb0bd-51e9-448f-82d0-16d025522c08","panthera","onca","-40.065833","-19.393611","30","249","1229","13"
"380f298d-e33d-4573-9397-4bef7d85e42a","panthera","onca","-71.7083282","10.4916697","40","281","699","9"
"6cf9b60f-a15b-4572-b552-68e2f9906520","panthera","onca","-48.745676","-5.272356","96","265","1863","8"
"3ac7211c-c956-4616-8efd-6a3653eec82b","panthera","onca","-63.729187","10.026597","558","235","1315","2"
"ce035a61-70ef-4d6b-80f1-db1652bdea26","panthera","onca","-91.7","14.616667","454","250","3270","1"
"3de351ae-54ac-4b14-a677-df3c764a2326","panthera","onca","-61.033333","-21.7","193","247","673","8"
"43092bc2-aa6f-4731-9464-19fd2b11cfed","panthera","onca","-90.256156","16.788955","189","246","1826","2"
"f00d001e-a870-4938-807f-50bbce15cac4","panthera","onca","-64.727436","6.064746","449","238","3113","2"
"d22c655a-daf5-4fd6-8070-95969d74e246","panthera","onca","-72.600499","7.867946","249","265","1398","9"
"ab4cf5b5-361a-4688-8ddb-a92ac0d0ce36","panthera","onca","-52.033333","-26.816667","1027","167","2598","2"
"1f833417-d9f4-42eb-a812-f3a92cb18257","panthera","onca","-73.5","-9","231","251","1621","2"
"dcc61009-55da-4ce1-a495-e0c2bab56dbb","panthera","onca","-64","-21.5","1154","188","866","8"
"f3de2279-4937-4373-960c-b5aac84fc94c","panthera","onca","-59.51666","2.83333","112","263","1450","9"
"560d8bb9-fa4f-4260-ac17-7769fdbae17c","panthera","onca","-48.9667","-16.3333","996","222","1531","13"
"b9b8a47c-ee5d-4c03-9987-e0c676988351","panthera","onca","-57.310205","-17.232978","101","262","1182","9"
"cdd37305-8f64-450c-a558-ea653feb543f","panthera","onca","-97.107952","18.818329","1793","169","1725","10"
