"uuid","genus","specificepithet","longitude","latitude","elevation","temperature","precipitation","landcover"
"b7166790-f0b6-4f6a-a031-90aa96b5d24f","puma","concolor","-120.2155182","38.3399165","1637","94","1152","1"
"ce04a61d-ec06-4639-a1ff-b438dd971558","puma","concolor","-108.1666666667","33.0333333333","1865","136","323","8"
"36de0ab2-dfa5-4556-a104-ced17852ced9","puma","concolor","-106.5108333333","32.4488888889","1603","160","278","10"
"93e8bb96-4a26-4822-a892-74340ce948f7","puma","concolor","-117.94517417960488","35.842732158964004","1393","143","149","7"
"ef459297-47f3-4077-b0a3-47d04e584dd7","puma","concolor","-113.99391","37.70039","1861","111","320","8"
"e48890ff-a037-4b49-b964-7e9172214b33","puma","concolor","-115.690278","51.1330555","1520","19","341","1"
"76215148-0332-48d9-8130-20b0f8f325b8","puma","concolor","-106.629326","33.0289096","1824","143","331","10"
"e4fe74c1-2ef4-4207-bc04-811ed6a8023a","puma","concolor","-121.4166666667","52.3333333333","790","57","514","1"
"da649429-ffc8-46a4-8989-83be588e5aae","puma","concolor","-108.33996","38.21152","1912","93","289","8"
"5639fabc-8b75-4b56-8ec6-003cf6bc0590","puma","concolor","-108.53659","38.27014","1803","101","349","13"
"abb3ec93-5ef1-45f7-ba76-ce0ace24cb05","puma","concolor","-108.14532","38.70966","1526","111","194","10"
"10a03b0a-c9ac-42bb-95b1-f0de80824452","puma","concolor","-116.833184435621","45.559278420541716","628","112","313","10"
"7c773d5f-a1c4-463c-8b1f-cfb8a606c4c1","puma","concolor","-119.206","34.555","1031","132","419","1"
"335453cd-0479-4db0-af49-83d0df3b2902","puma","concolor","-121.350109","37.351165","409","140","304","8"
"54fbfc23-a47e-4749-a456-76c8f402dafc","puma","concolor","-116.679183","33.814463","3163","23","508","1"
"7a4cfef6-3236-4db0-9e62-1820bb1c9c07","puma","concolor","-99.1461111","22.8202777","124","249","967","14"
"39a35444-2f97-4422-8254-0ade02030347","puma","concolor","-105.362877","39.633057","2325","53","423","8"
"4d7b4b90-1002-4889-92e2-caee69dd20ac","puma","concolor","-109.72764","39.33356","2585","51","217","8"
"d1b776e3-e00d-4ed8-830d-93f94dfd282a","puma","concolor","-107.89839","38.41026","1898","89","259","10"
"6da36cc2-9c3e-48e1-9cd6-35f5969ad5d4","puma","concolor","-107.77239","38.29688","1988","83","243","8"
"7d28c718-ec56-496f-90f5-781e00ef6dff","puma","concolor","-108.38306","38.23842","2090","83","394","8"
"6528660f-2f84-4ffa-a2b6-79aea3ce51b2","puma","concolor","-107.745159","38.230954","2132","75","248","8"
"6c8cf0fb-f39e-4180-becf-36280d4979d4","puma","concolor","-115.37639","40.80833","1727","94","357","10"
"741c9c95-c9ad-48ad-b895-f66727f79377","puma","concolor","-109.2183","31.7606","1890","145","436","1"
"bfdab844-ed99-45f7-83e5-6d5397917f51","puma","concolor","-110.8499","31.4121","1169","187","454","10"
"d9e5edc4-f9d7-4c8b-a5c0-80dd9cbb9358","puma","concolor","-114.50139","39.45917","1720","108","152","7"
"545a580f-02c7-47be-9998-a0a2bb8ef180","puma","concolor","-102.7770004","29.7110004","930","198","371","7"
"07dac4ad-76a1-4164-863f-f04f5308dcc1","puma","concolor","-103.2434515473823","29.52619539612479","1504","167","441","7"
"16c5e8d3-ff27-4767-ba09-64f867bd71d1","puma","concolor","-117.9452072805286","35.8427289587811","1393","143","149","7"
"cde4fb79-acfa-4f66-b54e-9016e569f5a2","puma","concolor","-108.49399","38.25271","1795","101","320","1"
"788a38f9-6c64-489d-9bf4-9f2a4ce427ed","puma","concolor","-107.81584","38.27669","2262","68","304","1"
"2c47512c-e221-4595-aa6e-1209b14b44e2","puma","concolor","-106.4869614","33.9358292","1559","152","260","7"
"2a23632f-43ff-4cad-8048-b2caa2b5a679","puma","concolor","-122.8758643","39.404078","614","131","837","1"
"2c95b12d-852f-483c-9582-0dca98e164d4","puma","concolor","-109.2432676797999","31.14081461087519","1036","198","289","10"
"a2128579-b7ca-478c-b833-3a3553336216","puma","concolor","-118.12123000000001","48.83251","787","80","567","1"
"e4fef290-865f-4830-aa9a-a2f0c3298bfe","puma","concolor","-110.549","39.793","2200","65","239","1"
"82b88cde-4fd3-4f72-ae15-dad9476a4657","puma","concolor","-88.06667","13.31667","67","280","1400","17"
"57501e2b-60f5-4540-ba19-930b714c392e","puma","concolor","-109.217879","36.565278","1953","110","172","10"
"11eff5d1-5e00-4346-96b6-e3a400eab50b","puma","concolor","-107.82477","38.2245","2421","60","328","8"
"72c4e360-ba36-4fd4-99f8-42138ea823ed","puma","concolor","-108.05644","38.36354","2433","60","309","1"
"2fbbbb2d-3901-47f4-b536-8e81dc0e1840","puma","concolor","-108.3922","38.45099","2737","44","384","1"
"2dae6610-7c63-4c8f-9103-3674e1e0cf19","puma","concolor","-103.94972","19.44417","2198","141","1023","5"
"66ebfc8f-cabc-41bd-b975-9a1aff2af4f3","puma","concolor","-103.301","29.266","1717","157","368","10"
"0e005923-680d-4bb2-9d57-cc32fce0a1b8","puma","concolor","-124.36603993584168","47.957579726557974","101","106","2461","1"
"4869d84d-fa73-4f74-a19f-b4354a615c90","puma","concolor","-108.10718","38.35372","2619","50","319","1"
"6b55b4e8-dcde-451d-be06-b63135a09104","puma","concolor","-108.0786562","38.0242904","2297","70","306","8"
"e1907d2c-5dfa-40f0-ad63-21ffe53ddc3e","puma","concolor","-108.05281","38.36314","2433","60","309","1"
"7e778597-fc19-4fb3-99d9-a210d533211d","puma","concolor","-71.56667","-39.46667","1053","77","1563","5"
"92c3f16a-7ff9-4c88-9353-298669898f4e","puma","concolor","-119.642341","37.54911","1264","123","714","1"
"e6d4d1b9-79ee-4975-9da7-0485a7fb19a5","puma","concolor","-114.8228","46.0197","880","99","585","1"
"5a0a8d0e-6fd3-4963-8daa-e44b7f5cf2e9","puma","concolor","-89.63361","17.39361","198","247","1605","2"
"42e2cb40-63f1-40ba-b3a2-c71a80d19296","puma","concolor","-108.197133","38.538268","1824","95","224","10"
"fef5591b-5714-4728-a57d-6dfb12ae483a","puma","concolor","-107.78699","38.2677","2336","64","345","10"
"39b2e214-2384-4c1e-a566-4b99d3221dcf","puma","concolor","-114.55694","39.27667","3137","24","332","10"
"07b9625d-d49e-4670-8edf-cd5735b5d4c2","puma","concolor","-124.1017702","41.1240143","158","129","1383","1"
"901efb09-d016-410c-9671-be8f6e80baee","puma","concolor","-123.66800087323948","47.87201015748675","841","65","1594","1"
"a9e0b2d8-b09d-411d-b387-7dc48d11c2e3","puma","concolor","-83.48731","8.69745","149","260","3777","5"
"4870f73f-b5a9-4f37-b1e1-7ff549c6f4e3","puma","concolor","-123.6489","45.2325","249","107","1794","1"
"2c3c718d-5c45-48dc-843c-ba9ebdb44ff7","puma","concolor","-117.55369","33.629331","332","178","317","6"
"0c50ef86-fb54-426a-8c71-a839992aab8a","puma","concolor","-120.2754393","41.8800954","1766","75","549","1"
"fd901cd6-1b86-4fc5-8903-f1e2e79f173f","puma","concolor","-80.470608","27.816415","12","232","1332","10"
"b82d350d-0e0e-4576-abae-b6be2a46aee2","puma","concolor","-108.10036","38.36833","2601","51","314","1"
"86bf5f48-c5a2-42a8-844b-1b9094bca319","puma","concolor","-107.90498","38.26932","2445","59","330","1"
"708e4ec7-8bc6-41f4-a83d-3830a1e28015","puma","concolor","-108.22933","38.5072","2133","78","253","1"
"b2b44879-26a5-4417-af2c-b6640915269b","puma","concolor","-111.8221","39.3583","2142","72","447","1"
"e59449b5-7733-45bf-aac6-d489ae4404a6","puma","concolor","-111.32774","41.27202","2048","60","349","4"
"9bcc8a09-db17-4f77-b83c-c4061e2dad67","puma","concolor","-103.4459991","30.222000100000002","1400","167","429","8"
"fb874c7d-0cd7-4fdc-bb7e-35a6e8bda223","puma","concolor","-115.80472","39.88889","2686","46","371","10"
"fc57a8aa-1429-49b8-a4b7-7f7679398189","puma","concolor","-89.395","18.5052777","256","244","1067","2"
"552fe7d4-8549-45cc-8950-1844cebacc8a","puma","concolor","-123.47306","40.80917","484","128","959","1"
"746f3d6c-f60e-4975-90af-a125ecf2be6c","puma","concolor","-108.50389","37.47389","2148","86","476","1"
"da66c25e-311f-43ff-b2b3-8e994e7b49a0","puma","concolor","-112.34497","38.72963","1907","93","258","10"
"cc182283-98d9-48ca-a87d-657cd4b2bc06","puma","concolor","-72.71667","-37.8901","247","125","1042","14"
"56f32a9f-f4bd-451c-88e9-44f499dac5c2","puma","concolor","-110.4178","31.4137","1730","151","512","1"
"0b2f058c-0470-48c1-aea3-af410f76f23b","puma","concolor","-112.82961","37.84433","1828","104","337","13"
"904393e9-29e0-459e-87c9-f2842132c7c8","puma","concolor","-124.9","51.9667","925","50","257","1"
"186f682a-bc18-4a96-a8cf-2b4aa88b4128","puma","concolor","-114.5","39.24","1776","106","172","8"
"4f6366ee-0ba4-4da5-ac9f-6f464fc1336a","puma","concolor","-118.244625","34.053609","109","193","418","13"
"2d1e7e3f-cbc4-4ea8-aed6-001c00a61966","puma","concolor","-109.2085","31.8836","1710","156","339","1"
"822a1ad2-57ae-4b0a-b96a-24ed2bde4a28","puma","concolor","-120.2771","34.858591","189","163","385","8"
"715af79b-5315-4cee-b6a3-d7b3cf1ac8c7","puma","concolor","-122.60304","38.731466","493","135","962","4"
"6f12cf85-903c-4939-902d-947186f5e6e6","puma","concolor","-117.997231","53.146089","1005","34","327","1"
"908f0013-26c6-441a-821f-3dfedfedfe5c","puma","concolor","-113.32833","41.8175","1672","90","298","10"
"095b86fa-4f0a-4f73-b2aa-6f80db9f9c11","puma","concolor","-105.413883","39.851096","2754","27","524","8"
"ca2f4ca1-7f19-4544-bdec-04b69f6f3d80","puma","concolor","-121.106","39.5625","1134","115","1925","1"
"e16ab95d-5033-4bd7-8329-68eca834fd44","puma","concolor","-122.565118","40.6853422","504","143","1107","1"
"ee2bea61-8ea2-4f97-b77a-2e7b90afd2e6","puma","concolor","-105.198354","39.546077","2121","66","410","8"
"1e74732f-6441-42ee-a3c3-1bf4069a510a","puma","concolor","-121.8151468","37.0532285","490","123","649","1"
"00010397-22e8-4386-80da-1b4fca762702","puma","concolor","-110.92583","32.22167","754","215","317","13"
"f29a9973-212a-4c9f-aa05-32a0e08ecd9b","puma","concolor","-118.91711","36.674453","1961","90","875","1"
"029115ab-2783-471a-ba77-77563d2cd0db","puma","concolor","-111.102661","32.236793","1027","198","424","7"
