"uuid","genus","specificepithet","longitude","latitude","elevation","temperature","precipitation","landcover"
"f9971caa-df41-4377-ae67-fc6a53879221","leopardus","pardalis","-77.633333","-4.416667","216","248","2125","17"
"2fbe8fec-0176-4af4-90bf-84433d9457d8","leopardus","pardalis","-55.18492","-3.557775","93","259","1784","2"
"b708a1bb-632b-4166-a723-da0a55a66c7f","felis","pardalis","-78.604826","0.539052","1530","180","2089","16"
"12999d8a-774a-4caa-a67f-136f1463d021","felis","pardalis","-79.4","0.4","135","245","2439","2"
"be35ca3f-3873-4d4b-b888-9416ae1a2261","leopardus","pardalis","-91.9819444","17.5088889","67","262","2767","1"
"a8f3d7de-dc5a-48ab-bd5b-fac18be4fb33","leopardus","pardalis","-91.0652778","16.7088889","305","241","2055","2"
"67cef8b6-98ee-4061-b307-2ff37ca0ae79","leopardus","pardalis","-87.7833333","19.6166667","0","259","1264","8"
"f22476e0-41ba-4e34-a6be-f9fd83799220","leopardus","pardalis","-78.35","0.816667","834","219","2034","10"
"0679d3be-ae9a-4b69-a44e-9632b93dc8e6","leopardus","pardalis","-74.616667","-5.866667","115","255","2359","2"
"ebc3be36-e513-49e5-8d9f-276da93b8907","leopardus","pardalis","-112.299334","34.879187","1301","159","313","10"
"b3564ae9-0085-40d6-97ac-a161c557258c","felis","pardalis","-79.383","-1.35","38","255","1762","8"
"fe087c9d-4abd-4cc8-90ec-dc16d2d0e03f","felis","pardalis","-78.367","-0.433","3138","105","969","14"
"1b307af6-103e-49ca-9b95-ec3ced54f250","felis","pardalis","-79.52489","0.19908","107","245","2052","2"
"6d3225cf-f2b5-4566-a912-2476d33d389f","leopardus","pardalis","-106.663485","35.078382","1508","146","217","13"
"0d09a39b-59e5-477f-b181-427fa3bd876b","felis","pardalis","-78.530067","0.602049","1723","170","2274","16"
"2e3e5c8c-7c5f-4cd9-8e75-8208a9ccb17e","felis","pardalis","-74.933767","-9.87663","230","259","1930","2"
"41518aca-bea3-4b63-b997-c217968d8316","felis","pardalis","-79.4","0.45","85","247","1869","12"
"e4914e2b-78c1-475c-899b-c0f4a49af982","felis","pardalis","-79.6126","-0.27558","226","239","2146","14"
"1afa50b4-3346-4d37-8235-4963a067dd18","felis","pardalis","-80.583","-1.333","348","218","633","8"
"f0cef29d-7e4d-4186-9dc4-9cc68ba53a2c","leopardus","pardalis","-71.1333313","-12.1999998","370","249","2258","2"
"1c9f57cc-492b-4097-9cfc-312f61336e77","leopardus","pardalis","-74.622963","-3.3057799","126","248","2807","2"
"de5f08b4-a7b1-4114-bda4-6952dc173f5d","felis","pardalis","-79.504037","0.272686","101","246","2067","14"
"19ee2dc8-0063-4460-a441-ba884e216cc5","felis","pardalis","-72.1","5.7","368","254","2528","8"
