"uuid","flags","longitude","latitude"
"84ae308b-f4c2-41bb-a7e9-881aeb517169","[""idigbio_georeference""]","-70.6333313","-13.2666664"
"ea81d75a-686f-44fa-af8c-ae27756e904d","[""geolocate_georeference""]","-83.800367","9.768421"
"e3b69502-8e65-4620-a01b-19b700ced839","[""geolocate_georeference""]","-73.253828","-3.749125"
"3bf9fa8c-e57b-4c4f-b06c-49c40a84e74b","[""geolocate_georeference""]","-91.533333","14.35"
"62e322c4-dd8e-48a9-b0d7-b66fc0a45847","[""geolocate_georeference""]","-47","-0.783333"
"bd4dc534-a709-4773-8964-c08eb4c3689c","[""idigbio_georeference""]","-71.7833328","-4.4499998"
"5fc30fdf-9341-4776-975b-b7773cb4eb8f","[""idigbio_georeference""]","-75.9833298","-9.3000002"
"fecf98c5-0473-46e3-8913-1941ffd4dda1","[""idigbio_georeference""]","-79.848821","9.156101"
"5d59f1ed-d8d6-4b36-a929-2ebdb4c22a43","[""idigbio_georeference""]","-79.15000000000002","-0.25"
"f9971caa-df41-4377-ae67-fc6a53879221","[""geolocate_georeference""]","-77.633333","-4.416667"
"f5c29602-b0c4-4d09-8a8b-ef9b930293f9","[""geolocate_georeference""]","-109.800062","26.735126"
"12999d8a-774a-4caa-a67f-136f1463d021","[""idigbio_georeference""]","-79.4","0.4"
"6bb6e465-1fa5-4770-a71e-d9a7469db1ae","[""idigbio_georeference""]","-79.367","0.517"
"2f5e594d-3d19-4aae-8a4b-453081234892","[""idigbio_georeference""]","-62.85","-20.96667"
"e5fe2fbe-6956-4b78-b7ad-2bbf328a400c","[""idigbio_georeference""]","-80.067","-0.117"
"f22476e0-41ba-4e34-a6be-f9fd83799220","[""geolocate_georeference""]","-78.35","0.816667"
"6067bb2a-ca8f-47d5-b8cd-2cfd9d747569","[""geolocate_georeference""]","-54.683333","-2.4"
"0679d3be-ae9a-4b69-a44e-9632b93dc8e6","[""geolocate_georeference""]","-74.616667","-5.866667"
"ebc3be36-e513-49e5-8d9f-276da93b8907","[""geolocate_georeference""]","-112.299334","34.879187"
"98b47268-4575-4c38-8bee-0730b37fcdd2","[""idigbio_georeference""]","-79.617","-1.433"
"b3564ae9-0085-40d6-97ac-a161c557258c","[""idigbio_georeference""]","-79.383","-1.35"
"3a355124-c48b-4c1f-bf84-da21222b3fbf","[""idigbio_georeference""]","-63.6666679","-17.4500008"
"fe087c9d-4abd-4cc8-90ec-dc16d2d0e03f","[""idigbio_georeference""]","-78.367","-0.433"
"1b307af6-103e-49ca-9b95-ec3ced54f250","[""idigbio_georeference""]","-79.52489","0.19908"
"6d3225cf-f2b5-4566-a912-2476d33d389f","[""idigbio_georeference""]","-106.663485","35.078382"
"735127b2-4382-49b0-b146-367b3e478774","[""geolocate_georeference""]","-39.183333","-5.316667"
"cc07febb-3664-4470-be20-0ede99de979f","[""idigbio_georeference""]","-78.457","0.30768"
"41518aca-bea3-4b63-b997-c217968d8316","[""idigbio_georeference""]","-79.4","0.45"
"1afa50b4-3346-4d37-8235-4963a067dd18","[""idigbio_georeference""]","-80.583","-1.333"
"066811d6-5045-4f7f-856f-ab1daa8790dc","[""idigbio_georeference""]","-79.417","1.067"
"f0cef29d-7e4d-4186-9dc4-9cc68ba53a2c","[""idigbio_georeference""]","-71.1333313","-12.1999998"
"1c9f57cc-492b-4097-9cfc-312f61336e77","[""idigbio_georeference""]","-74.622963","-3.3057799"
"de5f08b4-a7b1-4114-bda4-6952dc173f5d","[""geolocate_georeference""]","-79.504037","0.272686"
"02a51e5c-cc07-4fcf-98ab-737122ccb2d8","[""geolocate_georeference""]","-76.623776","-0.410681"
"19ee2dc8-0063-4460-a441-ba884e216cc5","[""geolocate_georeference""]","-72.1","5.7"
"fa689a68-d429-4dd5-b193-18e20c169867","[""geolocate_georeference""]","-82.458428","27.947522"
"bf4ac6ac-d62b-46b9-9bc3-5a74547097c6","[""geolocate_georeference""]","-68.766667","-11.3"
"f6ff6bbf-f0a9-4d99-a561-771e8e75d38c","[""idigbio_georeference""]","-76.43333333","7.333333333"
"751a3fcf-3eed-4515-8697-e50fbcc002de","[""idigbio_georeference""]","-76.989","0.084"
"76b054b1-f73e-40f6-8aea-a287e598d145","[""idigbio_georeference""]","-75.5333328","-10.0666666"
"01c2be21-e463-41f5-b8fa-65d3b322ad7b","[""geolocate_georeference""]","-57.7","-16.75"
"6d4eaeff-8130-4ed4-afb8-45947ce71aa5","[""geolocate_georeference""]","-79.816667","-1.25"
"8a555691-4cc5-4550-bf2c-53b5da941e9e","[""geolocate_georeference""]","-78.983056","1.249167"
"20a2d716-f42f-4730-8449-11339be3bf39","[""idigbio_georeference""]","-79.55","0.633"
"f8a6ec8b-7bad-47e4-a8b1-4a1ea9d6c9c3","[""idigbio_georeference""]","-79.7","0.9833000000000001"
"fe158e7b-a659-4307-9974-5b0d75690609","[""idigbio_georeference""]","-98.579567","39.828205"
"23b03c83-d69f-4ef1-a2f2-c9ae6a267f82","[""idigbio_georeference""]","-88.2833","18.5"
"a49bc454-4404-4abf-bb88-55d11382822e","[""idigbio_georeference""]","-79.85","0.867"
"35aea9fd-ca3e-468f-9254-6f55dcbed3f3","[""geolocate_georeference""]","-103.824267","19.456577"
"c1ebc940-a939-499f-b9b4-04a5cf367f87","[""geolocate_georeference""]","-88.6","13.433333"
"9b7ca1ca-22ab-4ea6-a157-483d495c26e2","[""geolocate_georeference""]","-98.123064","26.183685"
"1fd80d67-3631-44b0-8483-3293621d3810","[""geolocate_georeference""]","-64.45","-17.133333"
"8223d969-cfda-457e-9811-10651fb6899f","[""geolocate_georeference""]","-79.416667","0.916667"
"ae8a53f8-f09d-4519-941e-b692bedff5ea","[""geolocate_georeference""]","-72.92436","11.039033"
"43753bf2-187e-49d2-a8fe-642026574569","[""idigbio_georeference""]","-71.217","-10.133"
"03e2c530-3034-4972-a9e9-3e2439e25438","[""idigbio_georeference""]","-78.8","0.867"
"7700fac1-4594-43e6-8e15-254e89021693","[""idigbio_georeference""]","-80.15455","0.76364"
